GMC,Savana 2500,2012,WAULFAFH7DN107244,Blue,Automatic
Volkswagen,Golf,1995,5UXFA93546L728669,Goldenrod,Manual
Lincoln,Navigator,2008,JN1CV6EK6BM969487,Puce,Manual
Dodge,Ram 2500,2004,WBAKA4C59BC663344,Maroon,Automatic
GMC,Yukon XL 2500,2011,1GYFK46818R186058,Red,Manual
Ferrari,599 GTB Fiorano,2010,WAUJC58E63A658412,Fuscia,Automatic
Suzuki,Equator,2009,1FTEW1E80AK733323,Blue,Manual
Hyundai,Equus,2011,WAUHF98P36A240456,Goldenrod,Automatic
Scion,xB,2012,WDDHF8JB8DA828822,Puce,Manual
Toyota,Celica,2005,1D7CE2BK8AS282344,Fuscia,Manual
